RangeStart,RangeEnd,Original
0x1106,0x1162,0x1528
0x110b,0x1167,0x152e
0x1112,0x116e,0x1539
0x1119,0x1175,0x153e
0x1120,0x117c,0x1547
0x1127,0x1183,0x154b
0x112e,0x118a,0x155b
0x1135,0x1191,0x156b
0x113c,0x1198,0x156f
0x1143,0x119f,0x1599
0x114a,0x11a6,0x15a0
0x1151,0x11ad,0x15a2
0x1157,0x11b3,0x15a8
0x1162,0x1175,0x1368
0x116b,0x117e,0x1371
0x1170,0x1183,0x1435
0x118d,0x119f,0x1670
0x1192,0x11a4,0x1676
0x1199,0x11ab,0x1693
0x11a9,0x12fc,0x1119
0x11ba,0x130d,0x1119
0x11c7,0x131a,0x1119
0x12ea,0x143d,0x1119
0x12fc,0x1313,0x1a20
0x1306,0x131d,0x1a2a
0x130d,0x1324,0x1a56
0x1325,0x132f,0x1306
0x132a,0x1334,0x1306
0x1339,0x1363,0x1010
0x1354,0x137e,0x102b
0x135b,0x1385,0x105d
0x136d,0x1430,0x12d2
0x137d,0x1440,0x12d2
0x1385,0x1448,0x12d2
0x141f,0x14e2,0x12d2
0x1430,0x1436,0x12dd
0x1435,0x143b,0x12dd
0x1436,0x143a,0x1539
0x1439,0x143d,0x1539
0x1441,0x14a4,0x11c5
0x144c,0x14af,0x11c5
0x1451,0x14b4,0x11c5
0x1498,0x14fb,0x11c5
0x14a4,0x14ab,0x1310
0x14a6,0x14ad,0x1310
0x14b5,0x14e4,0x1641
0x14bd,0x14ec,0x1641
0x14db,0x150a,0x1641
0x14f1,0x1521,0x1618
0x14f6,0x1526,0x1618
0x151b,0x154b,0x1618
0x152d,0x15ab,0x15b4
0x1531,0x15af,0x15b8
0x1538,0x15b6,0x15bb
0x1543,0x15c1,0x15c9
0x154a,0x15c8,0x15e2
0x1551,0x15cf,0x15ed
0x1556,0x15d4,0x1607
0x155d,0x15db,0x1610
0x1564,0x15e2,0x1618
0x156b,0x15e9,0x1622
0x1572,0x15f0,0x1628
0x1577,0x15f5,0x162a
0x157e,0x15fc,0x162f
0x1585,0x1603,0x1633
0x158c,0x160a,0x1639
0x1593,0x1611,0x163d
0x159a,0x1618,0x1641
0x15a1,0x161f,0x1645
0x15a6,0x1624,0x1647
0x15ab,0x15b2,0x1318
0x15ad,0x15b4,0x1318
0x15b9,0x1644,0x17f8
0x15c8,0x1653,0x17f8
0x1644,0x164a,0x17a0
0x1651,0x166b,0x16f0
0x165e,0x1678,0x16fd
0x1665,0x167f,0x1796
0x1675,0x1698,0x1645
0x167a,0x169d,0x1645
0x1692,0x16b5,0x1645
0x16a1,0x16d2,0x1622
0x16a6,0x16d7,0x1622
0x16cc,0x16fd,0x1622
0x16dd,0x16eb,0x17a8
0x16e1,0x16ef,0x17a8
0x16e6,0x16f4,0x17ad
0x16eb,0x16ef,0x162a
0x16ee,0x16f2,0x162a
0x16f5,0x1794,0x15a0
0x1703,0x17a2,0x15a0
0x1708,0x17a7,0x15a0
0x1710,0x17af,0x15a0
0x1782,0x1821,0x15a0
0x1794,0x179a,0x1208
0x1799,0x179f,0x1208
0x17b5,0x17bb,0x17a8
0x17bb,0x17be,0x11e3
0x17bd,0x17c0,0x11e3
0x17d5,0x17e7,0x169c
0x17da,0x17ec,0x16a2
0x17e1,0x17f3,0x16d0
0x1815,0x1952,0x125a
0x1820,0x195d,0x125a
0x1941,0x1a7e,0x125a
0x19bf,0x19c2,0x12e9
0x19c1,0x19c4,0x12e9
0x1a25,0x1a57,0x1610
0x1a29,0x1a5b,0x1610
0x1a52,0x1a84,0x1610
0x1a9d,0x1c35,0x17ec
0x1ab8,0x1c50,0x17ec
0x1ac0,0x1c58,0x17ec
0x1c35,0x1c40,0x163d
0x1c37,0x1c42,0x163d
0x1c3d,0x1c48,0x163d
0x1c40,0x1c44,0x12bb
0x1c43,0x1c47,0x12bb
0x1d59,0x1d67,0x1178
0x1d5d,0x1d6b,0x117c
